name_eng,date_of_birth,url
Seung Han Ahn,1992-01-25,https://www.baseball-reference.com/register/player.fcgi?id=ahn---000seu
Raúl Alcántara,1992-12-04,https://www.baseball-reference.com/register/player.fcgi?id=alcant001rau
Jordan Balazovic,1998-09-17,https://www.baseball-reference.com/register/player.fcgi?id=balazo000jor
Kyu Bin Chang,2001-04-21,https://www.baseball-reference.com/register/player.fcgi?id=chang-001kyu
Ji Kang Choi,2001-07-23,https://www.baseball-reference.com/register/player.fcgi?id=choi--000jik
Jong In Choi,2001-05-01,https://www.baseball-reference.com/register/player.fcgi?id=choi--002jon
Jun Ho Choi,2004-06-03,https://www.baseball-reference.com/register/player.fcgi?id=choi--002jun
Seung Yong Choi,2001-05-11,https://www.baseball-reference.com/register/player.fcgi?id=choi--004seu
Won Joon Choi,1994-12-21,https://www.baseball-reference.com/register/player.fcgi?id=choi--002don
Been Gwak,1999-05-28,https://www.baseball-reference.com/register/player.fcgi?id=gwak--000bee
Kyeong-min Ho,1990-08-26,https://www.baseball-reference.com/register/player.fcgi?id=heo---000kye
Geon Hui Hong,1992-09-29,https://www.baseball-reference.com/register/player.fcgi?id=hong--000keo
Seong Ho Hong,1997-07-15,https://www.baseball-reference.com/register/player.fcgi?id=hong--004seo
Jong Sung Im,2005-03-03,https://www.baseball-reference.com/register/player.fcgi?id=im----000jon
Seung Hyun Jang,1994-03-07,https://www.baseball-reference.com/register/player.fcgi?id=jang--000seu
Da Min Jeon,2001-08-21,https://www.baseball-reference.com/register/player.fcgi?id=jeon--000dam
Min Jae Jeon,1999-06-30,https://www.baseball-reference.com/register/player.fcgi?id=jeon--000min
Cheol Won Jeong,1999-03-27,https://www.baseball-reference.com/register/player.fcgi?id=jeong-000che
Soo Haeng Jo,1993-08-30,https://www.baseball-reference.com/register/player.fcgi?id=cho---000soo
Soo Bin Jung,1990-10-07,https://www.baseball-reference.com/register/player.fcgi?id=jeong-000soo
Seung Ho Kang,1994-02-09,https://www.baseball-reference.com/register/player.fcgi?id=kang--000seu
Dae Han Kim,2000-12-06,https://www.baseball-reference.com/register/player.fcgi?id=kim---011dae
Do Yun Kim,2002-06-28,https://www.baseball-reference.com/register/player.fcgi?id=kim---000doy
Dong Ju Kim,2002-02-14,https://www.baseball-reference.com/register/player.fcgi?id=kim---026don
Ho Jun Kim,1998-05-17,https://www.baseball-reference.com/register/player.fcgi?id=kim---001hoj
In Tae Kim,1994-07-03,https://www.baseball-reference.com/register/player.fcgi?id=kim---005in-
Jae Hwan Kim,1988-09-22,https://www.baseball-reference.com/register/player.fcgi?id=kim---008jae
Jae-ho Kim,1985-03-21,https://www.baseball-reference.com/register/player.fcgi?id=kim---007jae
Jung-woo Kim,1999-05-15,https://www.baseball-reference.com/register/player.fcgi?id=kim---008jun
Kang Ryul Kim,1988-08-28,https://www.baseball-reference.com/register/player.fcgi?id=kim---001gan
Ki-yeon Kim,1997-09-07,https://www.baseball-reference.com/register/player.fcgi?id=kim---002ki-
Min Gyu Kim,1999-05-07,https://www.baseball-reference.com/register/player.fcgi?id=kim---025min
Min Hyeok Kim,1996-05-03,https://www.baseball-reference.com/register/player.fcgi?id=kim---021min
Myeong Sin Kim,1993-11-29,https://www.baseball-reference.com/register/player.fcgi?id=kim---005mye
Tae-geun Kim,1996-08-10,https://www.baseball-reference.com/register/player.fcgi?id=kim---029tae
Taek Yeon Kim,2005-06-03,https://www.baseball-reference.com/register/player.fcgi?id=kim---035tae
Yu Seong Kim,2002-01-01,https://www.baseball-reference.com/register/player.fcgi?id=kim---000yus
Hwi Kwon,2000-12-07,https://www.baseball-reference.com/register/player.fcgi?id=kwon--000hwi
Byeong Heon Lee,2003-06-04,https://www.baseball-reference.com/register/player.fcgi?id=lee---004bye
Byung-hwee Lee,1998-08-05,https://www.baseball-reference.com/register/player.fcgi?id=lee---003byu
Kyo Hoon Lee,2000-05-29,https://www.baseball-reference.com/register/player.fcgi?id=lee---000kyo
Young Ha Lee,1997-11-01,https://www.baseball-reference.com/register/player.fcgi?id=lee---000you
Myeong Jin Oh,2001-04-09,https://www.baseball-reference.com/register/player.fcgi?id=oh----002mye
Chi Guk Park,1998-03-10,https://www.baseball-reference.com/register/player.fcgi?id=park--000chi
Gye Beom Park,1996-01-11,https://www.baseball-reference.com/register/player.fcgi?id=park--001gye
Ji Ho Park,2003-07-02,https://www.baseball-reference.com/register/player.fcgi?id=park--002jih
Jong Ki Park,1995-01-21,https://www.baseball-reference.com/register/player.fcgi?id=park--005jon
Jun Young Park,1997-08-05,https://www.baseball-reference.com/register/player.fcgi?id=park--003joo
Jung Soo Park,1996-01-29,https://www.baseball-reference.com/register/player.fcgi?id=park--006jeo
Min Jun Park,2002-10-21,https://www.baseball-reference.com/register/player.fcgi?id=park--007min
Shin-jee Park,1999-07-16,https://www.baseball-reference.com/register/player.fcgi?id=park--000shi
Henry Ramos,1992-04-15,https://www.baseball-reference.com/register/player.fcgi?id=ramos-001hen
Hyun Jun Ryu,2005-03-25,https://www.baseball-reference.com/register/player.fcgi?id=ryu---002hyu
Ye Il Seo,1993-06-19,https://www.baseball-reference.com/register/player.fcgi?id=seo---000ye-
Keisho Shirakawa,2001-06-04,https://www.baseball-reference.com/register/player.fcgi?id=shirak000kei
Brandon Waddell,1994-06-03,https://www.baseball-reference.com/register/player.fcgi?id=waddel000bra
Chan Yeol Yang,1997-05-25,https://www.baseball-reference.com/register/player.fcgi?id=yang--001cha
Suk Hwan Yang,1991-07-15,https://www.baseball-reference.com/register/player.fcgi?id=yang--001seo
Ui-ji Yang,1987-06-05,https://www.baseball-reference.com/register/player.fcgi?id=yang--000ui-
Tong Keon Yeo,2005-08-04,https://www.baseball-reference.com/register/player.fcgi?id=yeo---000ton
Jared Young,1995-07-09,https://www.baseball-reference.com/register/player.fcgi?id=young-000jar
Jun Ho Yun,2000-11-14,https://www.baseball-reference.com/register/player.fcgi?id=yun---001jun
Chi Hong An,1990-07-02,https://www.baseball-reference.com/register/player.fcgi?id=an----000chi
Min Seo Bae,1999-11-18,https://www.baseball-reference.com/register/player.fcgi?id=bae---002min
Jaime Barria,1996-07-18,https://www.baseball-reference.com/register/player.fcgi?id=barria000jai
Eun Seong Chae,1990-02-06,https://www.baseball-reference.com/register/player.fcgi?id=chae--000weu
Kyu Hyun Chang,2002-06-28,https://www.baseball-reference.com/register/player.fcgi?id=chang-000kyu
See-hwan Chang,1987-11-01,https://www.baseball-reference.com/register/player.fcgi?id=jang--000hyo
Dong Uk Cho,2004-11-02,https://www.baseball-reference.com/register/player.fcgi?id=cho---003don
In Ho Choi,2000-01-30,https://www.baseball-reference.com/register/player.fcgi?id=choi--000inh
Jae Hoon Choi,1989-08-27,https://www.baseball-reference.com/register/player.fcgi?id=choi--000jae
Woo Ram Chung,1985-06-01,https://www.baseball-reference.com/register/player.fcgi?id=jeong-000woo
Ju Suk Ha,1994-02-25,https://www.baseball-reference.com/register/player.fcgi?id=ha----000joo
Hyeong Been Han,1998-12-11,https://www.baseball-reference.com/register/player.fcgi?id=han---001hye
Seung Hyuk Han,1993-01-03,https://www.baseball-reference.com/register/player.fcgi?id=han---000seu
Seung Ju Han,2001-03-17,https://www.baseball-reference.com/register/player.fcgi?id=han---002seu
Jun Seo Hwang,2005-08-22,https://www.baseball-reference.com/register/player.fcgi?id=hwang-002jun
Young Mook Hwang,1999-10-16,https://www.baseball-reference.com/register/player.fcgi?id=hwang-000you
Ji Su Jang,2000-05-25,https://www.baseball-reference.com/register/player.fcgi?id=jang--000ji-
Jin Hyuk Jang,1993-09-30,https://www.baseball-reference.com/register/player.fcgi?id=chang-003jin
Min Je Jang,1990-03-19,https://www.baseball-reference.com/register/player.fcgi?id=jang--001min
Hyun Sang Joo,1992-08-10,https://www.baseball-reference.com/register/player.fcgi?id=choo--000hye
Eun Won Jung,2000-01-17,https://www.baseball-reference.com/register/player.fcgi?id=jung--000eun
Beom Su Kim,1995-10-03,https://www.baseball-reference.com/register/player.fcgi?id=kim---000bum
Do Been Kim,2001-01-05,https://www.baseball-reference.com/register/player.fcgi?id=kim---000dob
In-hwan Kim,1994-01-28,https://www.baseball-reference.com/register/player.fcgi?id=kim---006in-
Kang Min Kim,1982-09-13,https://www.baseball-reference.com/register/player.fcgi?id=kim---000gan
Ki Joong Kim,2002-11-16,https://www.baseball-reference.com/register/player.fcgi?id=kim---000kij
Kyu Yeon Kim,2002-08-23,https://www.baseball-reference.com/register/player.fcgi?id=kim---007kyu
Min Woo Kim,1995-07-25,https://www.baseball-reference.com/register/player.fcgi?id=kim---018min
