Id,URL,Player,Age,Born,Position,BatThrow,HtWt,Career,Draft,Season,Team,ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER
90312,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=90312,가내영,20,1971-03-29,P,R/R,182cm/76kg,제물포고-태평양-현대-쌍방울-SK-해태-KIA,,1991,태평양,2.25,3,0,0,0,0,0,0,-,16,4,3,1,1,0,3,1,1
90312,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=90312,가내영,21,1971-03-29,P,R/R,182cm/76kg,제물포고-태평양-현대-쌍방울-SK-해태-KIA,,1992,태평양,5.47,20,1,0,7,9,0,0,0.438,474,107,128,10,47,4,49,69,65
90312,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=90312,가내영,22,1971-03-29,P,R/R,182cm/76kg,제물포고-태평양-현대-쌍방울-SK-해태-KIA,,1993,태평양,3.36,25,5,0,7,6,3,0,0.538,521,128 2/3,111,9,34,3,57,51,48
90312,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=90312,가내영,23,1971-03-29,P,R/R,182cm/76kg,제물포고-태평양-현대-쌍방울-SK-해태-KIA,,1994,태평양,5.03,11,0,0,1,0,0,0,1,154,34,44,3,8,1,15,21,19
90312,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=90312,가내영,24,1971-03-29,P,R/R,182cm/76kg,제물포고-태평양-현대-쌍방울-SK-해태-KIA,,1995,태평양,5.01,23,3,1,4,7,0,0,0.364,415,97,109,11,23,1,55,59,54
90312,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=90312,가내영,25,1971-03-29,P,R/R,182cm/76kg,제물포고-태평양-현대-쌍방울-SK-해태-KIA,,1996,현대,3.38,44,0,0,8,6,6,0,0.571,538,133 1/3,111,10,31,10,93,59,50
90312,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=90312,가내영,26,1971-03-29,P,R/R,182cm/76kg,제물포고-태평양-현대-쌍방울-SK-해태-KIA,,1997,현대,5.92,36,0,0,4,0,0,0,1,298,65 1/3,80,11,22,3,38,46,43
90312,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=90312,가내영,27,1971-03-29,P,R/R,182cm/76kg,제물포고-태평양-현대-쌍방울-SK-해태-KIA,,1998,쌍방울,4.24,20,0,0,1,3,1,0,0.25,162,40 1/3,36,4,8,4,18,20,19
90312,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=90312,가내영,28,1971-03-29,P,R/R,182cm/76kg,제물포고-태평양-현대-쌍방울-SK-해태-KIA,,1999,쌍방울,5.66,57,0,0,0,10,4,0,0,529,116,130,19,48,14,82,78,73
90312,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=90312,가내영,29,1971-03-29,P,R/R,182cm/76kg,제물포고-태평양-현대-쌍방울-SK-해태-KIA,,2000,SK,7.48,15,0,0,0,0,0,0,-,101,21 2/3,32,7,4,1,16,18,18
90312,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=90312,가내영,30,1971-03-29,P,R/R,182cm/76kg,제물포고-태평양-현대-쌍방울-SK-해태-KIA,,2001,KIA,5.93,20,0,0,1,2,1,0,0.333,185,41,46,8,17,3,24,32,27
90312,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=90312,가내영,31,1971-03-29,P,R/R,182cm/76kg,제물포고-태평양-현대-쌍방울-SK-해태-KIA,,2002,KIA,2.52,13,0,0,1,0,0,1,1,115,25,32,2,8,2,18,11,7
90312,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=90312,가내영,32,1971-03-29,P,R/R,182cm/76kg,제물포고-태평양-현대-쌍방울-SK-해태-KIA,,2003,KIA,7.71,4,0,0,0,0,0,0,-,22,4 2/3,7,0,0,1,3,4,4
