name_eng_x,date_of_birth,url_x,name_new,name_kor,name_eng_y,url_y
Seung Han Ahn,1992-01-25,https://www.baseball-reference.com/register/player.fcgi?id=ahn---000seu,seung han ahn,안승한,Seung-Han Ahn,https://statiz.sporki.com/player/?m=playerinfo&p_no=11328
Raúl Alcántara,1992-12-04,https://www.baseball-reference.com/register/player.fcgi?id=alcant001rau,raul alcantara,알칸타라,Raul Alcántara,https://statiz.sporki.com/player/?m=playerinfo&p_no=13941
Jordan Balazovic,1998-09-17,https://www.baseball-reference.com/register/player.fcgi?id=balazo000jor,jordan balazovic,발라조빅,Jordan Balazovic,https://statiz.sporki.com/player/?m=playerinfo&p_no=16155
Kyu Bin Chang,2001-04-21,https://www.baseball-reference.com/register/player.fcgi?id=chang-001kyu,kyu bin jang,장규빈,Gyu-Bin Jang,https://statiz.sporki.com/player/?m=playerinfo&p_no=14570
Ji Kang Choi,2001-07-23,https://www.baseball-reference.com/register/player.fcgi?id=choi--000jik,ji kang choi,최지강,Ji-Kang Choi,https://statiz.sporki.com/player/?m=playerinfo&p_no=15127
Jong In Choi,2001-05-01,https://www.baseball-reference.com/register/player.fcgi?id=choi--002jon,jong in choi,최종인,Jong-In Choi,https://statiz.sporki.com/player/?m=playerinfo&p_no=14733
Jun Ho Choi,2004-06-03,https://www.baseball-reference.com/register/player.fcgi?id=choi--002jun,jun ho choi,최준호,Jun-Ho Choi,https://statiz.sporki.com/player/?m=playerinfo&p_no=15508
Seung Yong Choi,2001-05-11,https://www.baseball-reference.com/register/player.fcgi?id=choi--004seu,seung yong choi,최승용,Seung-Yong Choi,https://statiz.sporki.com/player/?m=playerinfo&p_no=14770
Been Gwak,1999-05-28,https://www.baseball-reference.com/register/player.fcgi?id=gwak--000bee,bin kwak,곽빈,Been Gwak,https://statiz.sporki.com/player/?m=playerinfo&p_no=13061
Kyeong-min Ho,1990-08-26,https://www.baseball-reference.com/register/player.fcgi?id=heo---000kye,kyeong min heo,허경민,Kyeong-Min Heo,https://statiz.sporki.com/player/?m=playerinfo&p_no=10184
