stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
143,대구,2021-03-20,9.9,8.3,0654,10.9,1752,,,,,9.0,5.3,6.9,110,0153,5.1,110,0154,2.3,2029,290,8.5,73,0011,92.1,11.2,1006.6,1020.2,0001,1010.4,1744,1013.2,12.1,0.0,1000,0.64,4.12,,,,,,9.4,6.8,10.4,7.0,,,,,,,,,,0.9,1.2,,{비}0440-{비}{강도0}0600-{비}{강도0}0900-{비}{강도0}1200-1340. {박무}0815-{박무}{강도0}0900-0905. {박무}1040-{박무}{강도1}1200-1450.,
143,대구,2021-03-21,8.8,5.1,2353,11.7,1551,,,,,,,13.4,290,1627,8.7,320,1404,5.3,4536,290,1.4,41,1623,61.5,7.0,1006.6,1018.7,2334,1010.3,0306,1013.2,12.2,8.6,1100,2.55,17.7,,,,,,5.8,3.6,10.2,4.2,,,,,,,,,,3.3,4.7,,,
143,대구,2021-03-22,7.9,3.3,0623,13.0,1503,,,,,,,11.5,290,1437,8.3,290,1649,4.7,4053,290,-3.1,32,1257,46.6,4.9,1013.4,1022.1,2333,1018.0,1544,1020.1,12.2,11.1,1200,3.17,22.65,,,,,,1.6,1.3,10.4,1.4,,,,,,,,,,3.8,5.4,,,
143,대구,2021-03-23,11.4,1.7,0622,20.2,1557,,,,,,,7.4,270,1655,4.9,270,1659,2.2,1910,290,0.6,31,1222,49.4,6.4,1014.3,1023.7,0902,1017.4,1730,1020.9,12.3,11.2,1200,3.07,21.74,,,,,,0.0,0.0,12.8,-5.5,,,,,,,,,,4.0,5.8,,{황사}1140-{황사}{강도0}1200-{황사}{강도0}1500-{황사}{강도0}1800-1810.,
143,대구,2021-03-24,11.5,4.3,0646,18.2,1309,,,,,,,4.2,270,1953,2.9,290,2143,1.0,880,340,2.1,30,1347,54.9,7.2,1014.0,1023.8,0944,1017.9,1709,1020.6,12.3,4.1,1200,2.63,14.14,,,,,,6.3,2.1,10.9,-2.8,,,,,,,,,,2.4,3.5,,,
143,대구,2021-03-25,14.1,5.7,0619,22.3,1716,,,,,,,6.7,250,1305,4.5,270,1408,1.6,1404,270,4.0,30,1710,54.0,8.1,1013.7,1022.5,0949,1017.9,1713,1020.2,12.3,11.3,1200,3.08,22.25,,,,,,0.8,0.0,15.5,-1.2,,,,,,,,,,4.1,5.8,,,
143,대구,2021-03-26,15.3,6.7,0633,23.9,1510,,,,,,,6.9,110,1654,5.3,110,1659,1.6,1369,140,4.6,26,1341,52.6,8.5,1014.5,1023.7,0901,1018.0,1603,1021.0,12.4,9.7,1100,3.02,20.31,,,,,,4.0,0.0,16.4,-0.8,,,,,,,,,,3.7,5.4,,,
143,대구,2021-03-27,12.7,6.5,0619,17.1,1338,,,,,10.25,18.4,5.6,110,1128,4.1,140,1012,2.2,1897,140,10.0,57,1205,84.8,12.7,1006.4,1020.9,0026,1003.9,2357,1012.8,12.4,0.1,1100,1.32,6.5,,,,,,9.0,4.1,12.3,0.9,,,,,,,,,,1.2,1.7,,{비}1345-{비}{강도0}1500-{비}{강도0}1800-{비}{강도0}2100-{비}{강도1}2400- {박무}1445-{박무}{강도0}1500-1725. {박무}1855-2045. {박무}2105-2355.,
143,대구,2021-03-28,15.8,11.7,2332,20.2,1433,,,,,3.67,6.0,9.9,290,1402,6.9,290,1403,3.1,2690,340,10.5,47,1749,72.9,12.9,996.6,1005.5,2054,999.9,0546,1002.9,12.4,8.2,1400,2.72,18.35,,,,,,4.6,3.8,16.0,7.0,,,,,,,,,,3.4,4.8,,{박무}0105-0150. -{비}-0210. {비}0235-{비}{강도0}0300-0405. {박무}0325-0510.,
143,대구,2021-03-29,15.1,10.9,0121,19.5,1455,,,,,,,10.1,340,1234,6.0,340,1217,3.1,2676,320,4.3,36,1157,51.0,8.5,1000.7,1009.8,2352,1004.3,0336,1007.1,12.5,5.5,1200,2.87,17.93,,,,,,3.4,0.8,13.8,6.1,,,,,,,,,,4.2,6.0,,{박무}0415-{박무}{강도0}0600-0625. {연무}0620- {황사}0640-0645.{황사}{강도2}0900-{황사}{강도2}1200-{황사}{강도1}1500-{황사}{강도1}1800-{황사}{강도1}2100-{황사}{강도0}2400-,
143,대구,2021-03-30,14.6,10.5,2356,21.3,1623,,,,,,,6.3,270,1054,4.5,270,1125,2.6,2224,290,0.4,27,1446,39.5,6.4,1005.0,1014.3,2358,1009.7,0001,1011.5,12.5,9.5,1200,3.23,22.52,,,,,,3.0,1.4,14.1,6.0,,,,,,,,,,4.6,6.6,,-{황사}-{황사}{강도0}0300-{황사}{강도0}0600-{황사}{강도0}0900-1040.,
143,대구,2021-03-31,13.6,4.7,0612,23.1,1439,,,,,,,9.0,50,2245,5.6,110,1832,2.1,1812,110,4.6,26,1429,58.6,8.6,1008.6,1017.4,2229,1012.0,1534,1015.0,12.5,10.7,1200,3.17,22.76,,,,,,4.4,0.0,16.2,-0.4,,,,,,,,,,4.5,6.5,,,
143,대구,2021-04-01,13.5,9.2,0510,17.7,1246,,,,,,,12.2,90,1335,8.9,90,1318,5.2,4465,110,6.3,43,1631,63.1,9.6,1014.2,1022.5,2236,1017.2,0001,1020.8,12.6,7.3,1200,2.91,17.9,,,,,,7.3,3.8,14.3,6.8,,,,,,,,,,3.9,5.6,,,
143,대구,2021-04-02,14.7,12.2,0456,18.7,1551,,,,,,,10.0,90,0502,7.0,110,0406,4.5,3902,110,9.0,59,1507,69.0,11.5,1014.7,1023.1,1007,1019.2,1806,1021.2,12.6,6.0,1200,2.85,19.59,,,,,,7.6,4.4,18.6,12.0,,,,,,,,,,3.1,4.4,,,
