순위,선수명,팀명,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,최원준,KT,0.355,45,0,6,57,2,0.503,0.435,0.938,33,0.308,1
2,레이예스,롯데,0.346,37,7,2,45,6,0.512,0.407,0.919,35,0.396,0
3,구자욱,삼성,0.344,37,2,3,44,2,0.535,0.423,0.958,29,0.404,0.5
4,오스틴,LG,0.335,48,5,9,60,6,0.648,0.425,1.073,29,0.373,0
5,박민우,NC,0.333,47,2,7,46,7,0.457,0.431,0.888,28,0.425,0.5
6,이우성,NC,0.328,20,0,2,47,10,0.438,0.37,0.808,31,0.305,0
7,최형우,삼성,0.327,54,4,4,56,12,0.492,0.425,0.917,27,0.362,0.4
8,박성한,SSG,0.325,60,1,1,53,2,0.428,0.423,0.851,32,0.393,0.5
9,강백호,한화,0.315,39,3,1,70,6,0.592,0.388,0.98,29,0.387,0
10,김지찬,삼성,0.315,46,1,3,23,2,0.349,0.41,0.759,27,0.37,0.273
11,김성윤,삼성,0.315,29,0,2,30,3,0.421,0.387,0.808,25,0.352,0.455
12,김민석,두산,0.307,36,0,2,57,1,0.419,0.389,0.808,21,0.363,0.375
13,최정,SSG,0.306,37,5,6,66,7,0.616,0.397,1.013,17,0.268,0
14,페라자,한화,0.305,61,4,3,76,6,0.544,0.413,0.957,27,0.293,0
15,김주원,NC,0.3,31,2,13,53,2,0.457,0.375,0.832,33,0.299,0
16,문현빈,한화,0.299,41,0,4,48,14,0.473,0.375,0.848,30,0.227,0
17,한준수,KIA,0.298,40,2,7,43,8,0.466,0.411,0.877,20,0.333,0.333
18,디아즈,삼성,0.298,48,3,2,63,9,0.493,0.379,0.872,31,0.331,0
19,힐리어드,KT,0.297,37,1,0,109,3,0.558,0.36,0.918,31,0.311,0
20,데이비슨,키움,0.297,15,1,19,66,6,0.48,0.373,0.853,21,0.321,0.5
21,김도영,KIA,0.297,52,7,5,66,8,0.602,0.392,0.994,25,0.36,0
22,박건우,NC,0.296,41,5,1,61,5,0.502,0.374,0.876,24,0.25,0
23,류지혁,삼성,0.292,41,1,6,48,6,0.423,0.385,0.808,26,0.338,0
24,박해민,LG,0.292,30,0,8,46,5,0.367,0.364,0.731,22,0.316,0
25,김상수,KT,0.29,37,0,6,39,8,0.344,0.389,0.733,20,0.293,0.333
26,나성범,KIA,0.289,40,0,5,99,6,0.528,0.374,0.902,25,0.358,0
27,박찬호,두산,0.289,38,1,2,56,8,0.399,0.36,0.759,28,0.259,0.5
28,카메론,두산,0.287,30,0,3,53,9,0.473,0.36,0.833,23,0.244,0.5
29,에레디아,SSG,0.282,22,1,7,58,8,0.462,0.336,0.798,26,0.336,0
30,김현수,KT,0.279,32,0,1,45,11,0.39,0.338,0.728,32,0.3,1
31,황성빈,롯데,0.279,18,0,1,48,1,0.351,0.325,0.676,22,0.283,0.333
32,김호령,KIA,0.278,25,1,3,105,7,0.439,0.326,0.765,35,0.25,0
33,박재현,KIA,0.277,21,0,0,69,3,0.422,0.32,0.742,25,0.338,0
34,김태연,한화,0.277,23,0,5,47,4,0.413,0.351,0.764,14,0.241,0
35,정준재,SSG,0.277,35,0,5,52,4,0.355,0.353,0.708,24,0.31,0.5
36,안치홍,키움,0.272,34,2,2,47,11,0.382,0.347,0.729,18,0.286,0.5
37,심우준,한화,0.267,28,0,3,48,1,0.343,0.346,0.689,15,0.284,0
38,노시환,한화,0.266,34,0,7,104,10,0.483,0.344,0.827,27,0.245,0
39,정수빈,두산,0.263,40,1,4,52,4,0.377,0.354,0.731,21,0.286,0.5
40,전민재,롯데,0.263,19,0,3,68,5,0.389,0.311,0.7,21,0.257,0
41,홍창기,LG,0.258,53,0,13,80,10,0.31,0.393,0.703,18,0.305,0
42,김선빈,KIA,0.257,43,1,4,35,9,0.318,0.358,0.676,23,0.247,0.333
43,오지환,LG,0.255,30,0,4,59,5,0.371,0.338,0.709,16,0.282,0
44,양의지,두산,0.253,35,1,16,39,10,0.411,0.353,0.764,17,0.183,0.333
45,신민재,LG,0.252,31,0,2,39,5,0.264,0.334,0.598,15,0.234,0
46,김건희,키움,0.252,25,1,1,81,4,0.374,0.316,0.69,14,0.31,0.071
47,최지훈,SSG,0.243,24,0,3,51,6,0.423,0.295,0.718,21,0.217,0
48,박동원,LG,0.229,38,2,4,69,11,0.4,0.34,0.74,11,0.203,0
49,전병우,삼성,0.221,32,1,17,79,8,0.342,0.349,0.691,12,0.217,0.4
50,김재환,SSG,0.218,46,0,3,94,4,0.4,0.335,0.735,11,0.275,0.25
