Id,URL,Player,Age,Born,Position,BatThrow,HtWt,Career,Draft,Season,Team,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SF,SH,E,AVG,SLG,OBP,OPS
52125,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=52125,가르시아,29,1993-03-28,2B,S/R,183cm/88kg,도미니카-LG,22 LG 자유선발,2022,LG,39,156,136,21,28,6,1,4,48,19,4,1,19,1,40,4,0,0,6,0.206,0.353,0.308,0.661
68103,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=68103,가르시아,33,1985-04-12,3B,R/R,177cm/93kg,쿠바 Ciego de Avila Maximo Gomez Baez(대),18 LG 자유선발,2018,LG,50,206,183,27,62,9,0,8,95,34,5,0,9,8,25,3,6,0,9,0.339,0.519,0.383,0.902
72736,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=72736,가르시아,27,1975-05-20,SS,R/R,180cm/78kg,미국 산토도밍고고,02 한화 자유선발,2002,한화,24,77,73,7,19,3,1,2,30,8,5,3,4,0,20,1,0,0,8,0.26,0.411,0.299,0.71
78595,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=78595,가르시아,33,1975-10-29,OF,L/L,182cm/100kg,멕시코 아비에르타고-롯데,08 롯데 자유선발,2008,롯데,125,513,460,68,130,25,2,30,249,111,2,1,48,3,100,10,2,0,4,0.283,0.541,0.353,0.894
78595,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=78595,가르시아,34,1975-10-29,OF,L/L,182cm/100kg,멕시코 아비에르타고-롯데,08 롯데 자유선발,2009,롯데,130,539,467,72,124,29,1,29,242,84,4,3,62,5,124,11,6,0,6,0.266,0.518,0.354,0.872
78595,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=78595,가르시아,35,1975-10-29,OF,L/L,182cm/100kg,멕시코 아비에르타고-롯데,08 롯데 자유선발,2010,롯데,118,485,429,73,108,16,1,26,204,83,3,0,49,2,123,4,5,0,5,0.252,0.476,0.328,0.804
78595,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=78595,가르시아,36,1975-10-29,OF,L/L,182cm/100kg,멕시코 아비에르타고-롯데,08 롯데 자유선발,2011,한화,72,292,268,37,66,12,0,18,132,61,1,5,24,0,55,5,0,0,5,0.246,0.493,0.308,0.801
61435,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=61435,가코,30,1981-01-02,OF,R/R,188cm/102kg,미국 스탠포드대,11 삼성 자유선발,2011,삼성,58,220,189,21,46,8,0,1,57,28,0,1,22,5,34,12,4,0,1,0.243,0.302,0.332,0.634
61700,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=61700,강경학,19,1992-08-11,3B,L/R,180cm/72kg,광주대성초-광주동성중-광주동성고-한화-KIA,11 한화 2라운드 16순위,2011,한화,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0
61700,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=61700,강경학,22,1992-08-11,SS,L/R,180cm/72kg,광주대성초-광주동성중-광주동성고-한화-KIA,11 한화 2라운드 16순위,2014,한화,41,103,86,11,19,2,3,1,30,7,0,0,13,2,28,1,0,2,6,0.221,0.349,0.337,0.686
