gameDate,gameId,homeTeam,awayTeam,stadium
20210301,20210301KBO01,,,부산
20210301,20210301KBO02,,,
20210302,20210302KBOPG1,,,창원
20210303,20210303KBOPG1,,,창원
20210305,20210305KBOPG1,,,대전
20210305,20210305KBOPG2,,,
20210306,20210306KBOPG1,,,
20210306,20210306KBOPG2,,,
20210307,20210307KBOPG1,,,
20210307,20210307KBOPG2,,,
20210309,20210309KBOPG1,,,
20210310,20210310KBOPG1,,,
20210311,20210311KBOPG1,,,
20210311,20210311KBOPG2,,,
20210313,20210313KBOPG1,,,
20210313,20210313KBOPG2,,,
20210313,20210313KBOPG3,,,
20210313,20210313HB1,,,부산 기장 야구장
20210314,20210314HB1,,,부산 기장 야구장
20210314,20210314KBOPG1,,,
20210314,20210314KBOPG2,,,
20210314,20210314KBOPG3,,,
20210316,20210316KBOPG1,,,
20210316,20210316KBOPG2,,,
20210317,20210317KBOPG3,,,
20210317,20210317KBOPG1,,,
20210317,20210317KBOPG2,,,
20210318,20210318KBOPG1,,,
20210321,20210321HTSS02021,SS,HT,대구
20210321,20210321KTOB02021,OB,KT,잠실
20210321,20210321LGHH02021,HH,LG,대전
20210321,20210321SKNC02021,NC,SK,창원
20210321,20210321WOLT02021,LT,WO,사직
20210322,20210322HHOB02021,OB,HH,잠실
20210322,20210322HTNC02021,NC,HT,창원
20210322,20210322LGKT02021,KT,LG,수원
20210322,20210322SKLT02021,LT,SK,사직
20210322,20210322WOSS02021,SS,WO,대구
20210323,20210323HHOB02021,OB,HH,잠실
20210323,20210323HTNC02021,NC,HT,창원
20210323,20210323LGKT02021,KT,LG,수원
20210323,20210323SKLT02021,LT,SK,사직
20210323,20210323WOSS02021,SS,WO,대구
20210325,20210325HHKT02021,KT,HH,수원
20210325,20210325LGOB02021,OB,LG,잠실
20210325,20210325LTHT02021,HT,LT,광주
20210325,20210325SSSK02021,SK,SS,문학
20210325,20210325WONC02021,NC,WO,창원
20210326,20210326HHKT02021,KT,HH,수원
20210326,20210326LTHT02021,HT,LT,광주
20210326,20210326OBLG02021,LG,OB,잠실
20210326,20210326SSSK02021,SK,SS,문학
20210326,20210326WONC02021,NC,WO,창원
20210328,20210328LTHH02021,HH,LT,대전
20210328,20210328NCKT02021,KT,NC,수원
20210328,20210328SSLG02021,LG,SS,잠실
20210328,20210328WOHT02021,HT,WO,광주
20210329,20210329SKLG02021,LG,SK,잠실
20210330,20210330SKLG02021,LG,SK,잠실
20210330,20210330KTHT02021,HT,KT,광주
20210330,20210330OBSS02021,SS,OB,대구
20210330,20210330WOHH02021,HH,WO,대전
20210330,20210330NCLT02021,LT,NC,사직
20210330,20210330SSG01,,,웨스틴 조선호텔 그랜드볼룸
20210402,20210402KBO03,,,
20210403,20210403SSWO02021,WO,SS,고척
20210404,20210404KBORDS1,,,
20210404,20210404HHKT02021,KT,HH,수원
20210404,20210404HTOB02021,OB,HT,잠실
20210404,20210404LGNC02021,NC,LG,창원
20210404,20210404LTSK02021,SK,LT,문학
20210404,20210404SSWO02021,WO,SS,고척
